PWM(%),Altura(cm)
0.00,4.69
1.01,4.62
2.02,4.57
3.03,4.51
4.04,4.60
5.05,4.60
6.06,4.52
7.07,4.54
8.08,4.51
9.09,4.04
10.10,4.21
11.11,4.04
12.12,4.02
13.13,4.08
14.14,4.04
15.15,4.06
16.16,4.44
17.17,4.37
18.18,4.78
19.19,4.97
20.20,4.56
21.21,4.71
22.22,4.70
23.23,4.74
24.24,5.20
25.25,4.75
26.26,4.75
27.27,4.30
28.28,4.78
29.29,4.65
30.30,4.60
31.31,4.35
32.32,4.16
33.33,3.89
34.34,3.78
35.35,3.74
36.36,3.80
37.37,3.78
38.38,3.78
39.39,3.76
40.40,3.81
41.41,3.90
42.42,4.12
43.43,4.12
44.44,4.52
45.45,4.38
46.46,4.42
47.47,4.87
48.48,6.14
49.49,19.09
50.51,15.43
51.52,8.80
52.53,6.70
53.54,4.47
54.55,5.05
55.56,5.95
56.57,8.59
57.58,9.50
58.59,11.92
59.60,11.35
60.61,13.32
61.62,10.03
62.63,9.36
63.64,8.96
64.65,8.79
65.66,8.99
66.67,10.28
67.68,10.97
68.69,12.11
69.70,12.83
70.71,14.51
71.72,14.07
72.73,14.82
73.74,15.46
74.75,16.13
75.76,16.92
76.77,17.51
77.78,18.86
78.79,22.67
79.80,29.62
80.81,35.18
81.82,35.75
82.83,35.76
83.84,32.24
84.85,39.23
85.86,38.73
86.87,31.67
87.88,28.91
88.89,27.96
89.90,36.34
90.91,29.87
91.92,31.16
92.93,29.34
93.94,27.19
94.95,27.98
95.96,36.53
96.97,36.13
97.98,35.74
98.99,28.67
100.00,50.91
