Tiempo(ms),PWM,Altura(cm)
0,127,4.05
51,127,3.98
102,127,4.05
153,127,4.05
205,127,4.05
256,127,4.05
306,127,4.05
357,127,4.05
408,127,3.95
460,127,4.05
511,127,4.05
562,127,4.05
613,127,4.05
664,127,4.05
715,127,4.05
766,127,4.07
817,127,4.28
868,127,4.38
919,127,4.38
971,127,4.38
1022,127,4.38
1073,127,4.38
1123,127,4.40
1174,127,4.38
1226,127,4.38
1277,127,4.38
1328,127,4.28
1379,127,4.28
1430,127,4.38
1482,127,4.40
1533,127,4.38
1584,127,4.05
1635,127,4.38
1686,127,4.38
1738,127,4.38
1789,127,4.38
1839,127,4.38
1890,127,4.38
1941,127,4.38
1993,127,4.34
2044,127,4.28
2095,127,4.28
2146,127,4.72
2197,127,4.71
2249,127,4.71
2300,127,4.38
2351,127,4.38
2402,127,4.05
2453,127,3.74
2505,127,3.72
2555,127,3.74
2606,127,4.71
2657,127,4.71
2708,127,4.60
2759,127,4.60
2811,127,4.60
2862,127,3.72
2913,127,3.72
2964,127,3.74
3015,127,3.74
3067,127,3.72
3117,127,4.07
3168,127,4.05
3219,127,4.07
3270,127,4.28
3322,127,4.28
3373,127,4.38
3424,127,4.05
3475,127,3.72
3526,127,3.72
3578,127,3.72
3629,127,4.71
3679,127,3.72
3730,127,3.72
3781,127,3.72
3833,127,3.62
3884,127,3.72
3935,127,3.72
3986,127,3.74
4037,127,3.72
4089,127,3.72
4139,127,3.72
4190,127,3.72
4241,127,3.72
4292,127,3.62
4344,127,5.03
4395,127,3.72
4446,127,3.72
4497,127,4.71
4548,127,3.72
4600,127,3.72
4650,127,3.72
4701,127,3.72
4752,127,3.72
4803,127,3.62
4855,127,3.72
4906,127,3.72
4957,127,3.72
5008,127,3.74
5059,127,3.72
5111,127,4.05
5161,127,4.07
5212,127,4.05
5263,127,3.95
5314,127,3.97
5366,127,4.05
5417,127,4.05
5468,127,4.05
5519,127,4.07
5570,127,4.05
5622,127,4.05
5672,127,4.05
5723,127,4.07
5774,127,4.05
5825,127,3.95
5877,127,4.05
5928,127,4.05
5979,127,4.05
6030,127,4.05
6081,127,4.05
6133,127,3.72
6183,127,3.72
6234,127,4.05
6285,127,4.05
6336,127,3.95
6388,127,3.95
6439,127,4.38
6490,127,4.38
6541,127,4.38
6592,127,4.38
6644,127,4.05
6695,127,4.05
6746,127,4.05
6796,127,4.05
6847,127,4.05
6898,127,4.05
6950,127,3.95
7001,127,4.05
7052,127,4.07
7103,127,4.05
7154,127,4.05
7206,127,4.05
7257,127,4.05
7307,127,4.05
7358,127,4.05
7409,127,4.05
7461,127,3.95
7512,127,3.95
7563,127,4.07
7614,127,4.05
7665,127,3.72
7717,127,4.05
7768,127,4.05
7819,127,4.05
7869,127,4.05
7920,127,4.05
7972,127,4.05
8023,127,3.95
8074,127,4.05
8125,127,4.05
8176,127,4.05
8228,127,4.05
8279,127,5.36
8330,127,4.38
8381,127,4.07
8431,127,4.05
8483,127,4.05
8534,127,4.05
8585,127,3.95
8636,127,3.69
8687,127,4.05
8739,127,4.05
8790,127,4.05
8841,127,4.05
8892,127,4.05
8943,127,4.05
8994,127,4.05
9045,127,4.05
9096,127,4.05
9147,127,3.95
9198,127,4.05
9250,127,4.05
9301,127,4.05
9352,127,4.05
9403,127,4.05
9454,127,4.05
9505,127,4.05
9556,127,4.05
9607,127,4.05
9658,127,3.95
9709,127,4.28
9761,127,4.38
9812,127,4.38
9863,127,4.05
9914,127,4.05
9965,127,4.05
10017,127,4.07
10068,127,4.05
10119,127,4.05
10169,127,4.05
10220,127,4.05
10272,127,3.72
10323,127,3.72
10374,127,3.62
10425,127,3.62
10476,127,3.72
10528,127,3.72
10579,127,3.74
10630,127,4.05
10681,127,4.05
10732,127,4.07
10784,127,4.05
10835,127,4.05
10886,127,4.05
10937,127,4.07
10988,127,4.05
11039,127,4.05
11090,127,4.05
11141,127,4.05
11192,127,4.05
11243,127,3.72
11295,127,3.62
11346,127,3.62
11397,127,3.72
11448,127,3.72
11499,127,4.05
11551,127,4.05
11602,127,4.05
11653,127,4.07
11704,127,4.05
11755,127,4.05
11807,127,4.05
11858,127,4.05
11909,127,4.05
11959,127,4.05
12010,127,4.05
12061,127,4.05
12113,127,4.05
12164,127,4.05
12215,127,3.95
12266,127,3.95
12317,127,3.95
12369,127,4.38
12420,127,4.38
12471,127,4.71
12522,127,4.71
12573,127,4.38
12625,127,4.38
12676,127,4.38
12727,127,4.38
12778,127,4.38
12829,127,4.38
12881,127,4.05
12932,127,4.05
12983,127,4.05
13034,127,4.38
13085,127,4.07
13137,127,4.05
13188,127,4.05
13238,127,4.38
13289,127,4.38
13340,127,4.38
13392,127,4.38
13443,127,4.38
13494,127,4.38
13545,127,4.38
13596,127,4.38
13648,127,4.38
13699,127,4.28
13750,127,3.95
13801,127,3.95
13852,127,4.05
13904,127,3.72
13955,127,3.72
14006,127,3.72
14057,127,3.72
14108,127,4.05
14160,127,4.05
14211,127,4.07
14262,127,4.07
14313,127,4.05
14364,127,4.05
14415,127,4.05
14466,127,4.05
14517,127,3.72
14568,127,3.72
14619,127,3.95
14671,127,3.95
14722,127,3.95
14773,127,4.05
14824,127,4.05
14875,127,4.07
14927,127,4.05
14978,127,4.05
15029,127,4.07
15080,127,4.05
15131,127,4.05
15183,127,4.05
15234,127,4.05
15285,127,4.05
15336,127,4.05
15386,127,4.05
15438,127,4.05
15489,127,4.07
15540,127,4.07
15591,127,4.05
15642,127,3.95
15694,127,3.95
15745,127,3.95
15796,127,4.07
15847,127,4.38
15898,127,4.38
15950,127,4.38
16001,127,4.05
16052,127,4.05
16103,127,4.05
16154,127,3.72
16206,127,3.72
16257,127,3.72
16308,127,3.72
16358,127,3.72
16409,127,3.72
16461,127,3.72
16512,127,3.72
16563,127,3.95
16614,127,3.95
16665,127,3.95
16717,127,4.05
16768,127,4.05
16819,127,4.05
16870,127,4.05
16921,127,4.05
16973,127,4.05
17024,127,4.05
17075,127,4.05
17126,127,4.05
17177,127,4.05
17229,127,4.07
17279,127,4.07
17330,127,4.05
17381,127,3.72
17432,127,3.72
17484,127,4.05
17535,127,3.97
17586,127,3.95
17637,127,3.95
17688,127,4.05
17740,127,4.05
17791,127,4.05
17842,127,4.05
17893,127,4.05
17944,127,4.05
17996,127,4.05
18047,127,4.38
18098,127,4.38
18149,127,4.38
18200,127,4.38
18252,127,4.38
18303,127,4.38
18354,127,4.38
18405,127,4.38
18455,127,4.38
18507,127,4.38
18558,127,4.38
18609,127,4.40
18660,127,4.05
