Tiempo(ms),Setpoint(cm),Altura(cm),PWM
0,15.00,3.41,134.49
20,15.00,3.41,110.00
40,15.00,3.41,110.00
60,15.00,3.41,110.00
80,15.00,3.41,110.00
100,15.00,3.41,110.00
120,15.00,3.41,110.00
140,15.00,3.41,110.00
160,15.00,3.41,110.00
180,15.00,3.41,110.00
200,15.00,3.41,110.00
220,15.00,3.41,110.00
240,15.00,3.41,110.00
260,15.00,3.41,110.00
280,15.00,3.41,110.00
300,15.00,3.41,110.00
320,15.00,3.41,110.00
340,15.00,3.41,110.00
360,15.00,3.41,110.00
380,15.00,3.41,110.00
400,15.00,3.41,110.00
420,15.00,3.41,110.00
440,15.00,3.41,110.00
460,15.00,3.41,110.00
480,15.00,3.41,110.00
500,15.00,3.41,110.00
520,15.00,3.41,110.00
540,15.00,3.41,110.00
561,15.00,3.41,110.00
581,15.00,3.41,110.00
601,15.00,3.41,110.00
621,15.00,3.41,110.00
641,15.00,3.41,110.00
661,15.00,3.41,110.00
681,15.00,3.41,110.00
701,15.00,3.41,110.00
721,15.00,3.41,110.00
741,15.00,3.41,110.00
761,15.00,3.41,110.00
781,15.00,3.41,110.00
801,15.00,3.41,110.00
821,15.00,3.41,110.00
841,15.00,3.41,110.00
861,15.00,3.41,110.00
881,15.00,3.41,110.00
901,15.00,3.41,110.00
921,15.00,3.41,110.00
941,15.00,3.41,110.00
961,15.00,3.41,110.00
981,15.00,3.53,110.00
1001,15.00,3.61,110.00
1021,15.00,4.70,110.00
1041,15.00,4.31,220.00
1061,15.00,4.08,186.29
1081,15.00,3.94,150.25
1101,15.00,3.86,128.70
1121,15.00,3.81,115.84
1141,15.00,3.78,110.00
1161,15.00,3.89,110.00
1181,15.00,3.96,110.00
1201,15.00,4.00,110.00
1221,15.00,4.15,110.00
1241,15.00,5.28,110.00
1261,15.00,5.96,110.00
1281,15.00,6.37,110.00
1301,15.00,6.61,110.00
1321,15.00,6.24,220.00
1341,15.00,5.49,220.00
1361,15.00,5.04,220.00
1381,15.00,4.77,199.30
1401,15.00,4.61,157.37
1421,15.00,4.51,132.28
1441,15.00,4.72,110.00
1461,15.00,4.97,110.00
1481,15.00,5.51,110.00
1501,15.00,5.97,110.00
1521,15.00,6.50,110.00
1541,15.00,7.09,110.00
1561,15.00,7.45,110.00
1581,15.00,7.66,110.00
1601,15.00,7.52,133.07
1621,15.00,7.18,214.41
1641,15.00,6.98,161.56
1661,15.00,6.85,132.69
1681,15.00,6.77,112.67
1701,15.00,6.72,110.00
1721,15.00,7.35,110.00
1741,15.00,7.72,110.00
1761,15.00,7.95,110.00
1781,15.00,8.08,110.00
1801,15.00,7.90,147.72
1821,15.00,7.67,169.89
1841,15.00,7.40,186.77
1861,15.00,7.24,144.72
1881,15.00,6.88,220.00
1901,15.00,6.67,169.55
1921,15.00,6.54,136.07
1941,15.00,6.59,110.00
1961,15.00,7.01,110.00
1981,15.00,7.65,110.00
2001,15.00,8.04,110.00
2021,15.00,8.14,110.00
2041,15.00,8.20,110.00
2061,15.00,8.10,113.68
2081,15.00,8.05,110.00
2101,15.00,8.01,110.00
2121,15.00,7.99,110.00
2141,15.00,8.11,110.00
2161,15.00,8.18,110.00
2181,15.00,8.22,110.00
2201,15.00,8.12,118.61
2221,15.00,7.41,220.00
2241,15.00,6.98,220.00
2261,15.00,6.46,220.00
2281,15.00,5.88,220.00
2301,15.00,5.54,220.00
2321,15.00,5.33,176.02
2341,15.00,5.22,141.09
2361,15.00,5.27,110.00
2381,15.00,5.95,110.00
2401,15.00,6.36,110.00
2421,15.00,6.61,110.00
2441,15.00,6.89,110.00
2461,15.00,7.45,110.00
2481,15.00,7.78,110.00
2501,15.00,8.25,110.00
2521,15.00,8.52,110.00
2541,15.00,8.69,110.00
2561,15.00,8.79,110.00
2581,15.00,8.85,110.00
2601,15.00,8.76,112.45
2621,15.00,8.71,110.00
2641,15.00,8.54,143.07
2661,15.00,8.44,116.99
2681,15.00,8.51,110.00
2701,15.00,8.56,110.00
2721,15.00,8.45,120.91
2741,15.00,9.60,110.00
2761,15.00,11.38,110.00
2781,15.00,9.75,220.00
2801,15.00,8.77,220.00
2821,15.00,6.89,220.00
2841,15.00,5.75,220.00
2861,15.00,4.94,220.00
2881,15.00,4.46,220.00
2901,15.00,4.29,168.88
2921,15.00,4.19,142.99
2941,15.00,4.66,110.00
2961,15.00,4.94,110.00
2981,15.00,5.89,110.00
3001,15.00,6.72,110.00
3021,15.00,7.61,110.00
3041,15.00,10.04,110.00
3061,15.00,10.84,110.00
3081,15.00,10.09,220.00
3101,15.00,9.76,198.78
3121,15.00,9.70,110.00
3141,15.00,9.65,110.00
3161,15.00,9.63,110.00
3181,15.00,9.62,110.00
3201,15.00,9.74,110.00
3221,15.00,9.81,110.00
3241,15.00,9.85,110.00
3261,15.00,12.65,110.00
3281,15.00,13.63,110.00
3301,15.00,12.01,220.00
3321,15.00,10.52,220.00
3341,15.00,9.24,220.00
3361,15.00,8.20,220.00
3381,15.00,7.07,220.00
3401,15.00,6.39,220.00
3421,15.00,5.98,220.00
3441,15.00,5.73,193.47
3461,15.00,5.59,155.28
3481,15.00,6.02,110.00
3501,15.00,6.28,110.00
3521,15.00,6.69,110.00
3541,15.00,7.07,110.00
3561,15.00,7.43,110.00
3581,15.00,9.41,110.00
3601,15.00,9.09,203.04
3621,15.00,9.17,110.00
3641,15.00,9.75,110.00
3661,15.00,10.09,110.00
3681,15.00,9.77,201.94
3701,15.00,9.57,151.42
3721,15.00,9.45,123.94
3741,15.00,9.38,110.00
3761,15.00,9.33,110.00
3781,15.00,9.31,110.00
3801,15.00,12.05,110.00
3821,15.00,13.69,110.00
3841,15.00,14.68,110.00
3861,15.00,13.48,220.00
3881,15.00,12.76,220.00
3901,15.00,10.98,220.00
3921,15.00,9.91,220.00
3941,15.00,9.27,220.00
3961,15.00,8.22,220.00
3981,15.00,7.46,220.00
4001,15.00,7.01,220.00
4021,15.00,6.74,200.32
4041,15.00,6.57,157.81
4061,15.00,6.48,132.36
4081,15.00,6.55,110.00
4101,15.00,6.86,110.00
4121,15.00,7.30,110.00
4141,15.00,7.96,110.00
4161,15.00,8.35,110.00
4181,15.00,8.98,110.00
4201,15.00,9.35,110.00
4221,15.00,9.59,110.00
4241,15.00,10.00,110.00
4261,15.00,10.25,110.00
4281,15.00,10.54,110.00
4301,15.00,13.07,110.00
4321,15.00,12.23,220.00
4341,15.00,11.72,220.00
4361,15.00,10.87,220.00
4381,15.00,9.97,220.00
4401,15.00,9.43,220.00
4421,15.00,9.10,208.57
4441,15.00,8.78,210.84
4461,15.00,7.93,220.00
4481,15.00,7.42,220.00
4501,15.00,7.11,212.83
4521,15.00,6.93,165.20
4541,15.00,6.82,136.67
4561,15.00,7.01,110.00
4581,15.00,7.13,110.00
4601,15.00,7.46,110.00
4621,15.00,8.45,110.00
4641,15.00,9.04,110.00
4661,15.00,10.23,110.00
4681,15.00,10.95,110.00
4701,15.00,10.54,220.00
4721,15.00,10.16,220.00
4741,15.00,9.93,165.71
4761,15.00,9.67,183.27
4781,15.00,9.51,141.60
4801,15.00,9.41,116.64
4821,15.00,9.35,110.00
4841,15.00,9.32,110.00
4861,15.00,9.30,110.00
4881,15.00,9.42,110.00
4901,15.00,10.46,110.00
4921,15.00,9.85,220.00
4941,15.00,9.36,220.00
4961,15.00,9.06,199.70
4981,15.00,8.88,153.32
5001,15.00,8.52,220.00
5021,15.00,8.30,175.06
5041,15.00,7.65,220.00
5061,15.00,7.26,220.00
5081,15.00,7.02,186.91
5101,15.00,6.88,150.46
5121,15.00,7.19,110.00
5141,15.00,7.37,110.00
5161,15.00,7.61,110.00
5181,15.00,8.01,110.00
5201,15.00,8.25,110.00
5221,15.00,8.53,110.00
5241,15.00,8.69,110.00
5261,15.00,8.79,110.00
5281,15.00,8.85,110.00
5301,15.00,8.89,110.00
5321,15.00,9.17,110.00
5341,15.00,9.34,110.00
5361,15.00,9.44,110.00
5381,15.00,8.85,220.00
5401,15.00,8.49,220.00
5421,15.00,7.76,220.00
5441,15.00,7.32,220.00
5461,15.00,7.05,200.67
5481,15.00,7.02,110.00
5501,15.00,7.01,110.00
5521,15.00,7.13,110.00
5541,15.00,7.21,110.00
5561,15.00,7.26,110.00
5581,15.00,8.06,110.00
5601,15.00,9.08,110.00
5621,15.00,10.25,110.00
5641,15.00,10.96,110.00
5661,15.00,11.38,110.00
5681,15.00,11.79,110.00
5701,15.00,12.03,110.00
5721,15.00,12.17,110.00
5741,15.00,12.25,110.00
5761,15.00,12.30,110.00
5781,15.00,10.56,220.00
5801,15.00,8.74,220.00
5821,15.00,7.52,220.00
5841,15.00,6.79,220.00
5861,15.00,6.35,220.00
5881,15.00,5.95,220.00
5901,15.00,5.71,200.34
5921,15.00,5.83,110.00
5941,15.00,6.29,110.00
5961,15.00,6.70,110.00
5981,15.00,7.47,110.00
6001,15.00,7.93,110.00
6021,15.00,8.20,110.00
6041,15.00,8.24,110.00
6061,15.00,8.27,110.00
6081,15.00,8.02,189.90
6101,15.00,7.87,151.49
6121,15.00,7.78,128.50
6141,15.00,7.85,110.00
6161,15.00,8.03,110.00
6181,15.00,8.13,110.00
6201,15.00,8.33,110.00
6221,15.00,8.58,110.00
6241,15.00,8.46,136.73
6261,15.00,7.87,220.00
6281,15.00,7.51,220.00
6301,15.00,7.04,220.00
6321,15.00,6.63,220.00
6341,15.00,6.38,203.02
6361,15.00,6.10,216.77
6381,15.00,6.06,119.82
6401,15.00,6.04,111.16
6421,15.00,6.42,110.00
6441,15.00,6.91,110.00
6461,15.00,7.33,110.00
6481,15.00,7.58,110.00
6501,15.00,8.39,110.00
6521,15.00,8.23,158.86
6541,15.00,8.12,135.73
6561,15.00,7.93,169.38
6581,15.00,7.69,193.15
6601,15.00,7.54,155.23
6621,15.00,7.46,132.52
6641,15.00,7.53,110.00
6661,15.00,7.71,110.00
6681,15.00,8.07,110.00
6701,15.00,8.29,110.00
6721,15.00,8.69,110.00
6741,15.00,9.18,110.00
6761,15.00,8.95,179.78
6781,15.00,8.29,220.00
6801,15.00,7.90,220.00
6821,15.00,7.40,220.00
6841,15.00,7.10,220.00
6861,15.00,6.79,220.00
6881,15.00,6.61,177.82
6901,15.00,6.63,110.00
6921,15.00,6.77,110.00
6941,15.00,7.11,110.00
6961,15.00,7.32,110.00
6981,15.00,7.58,110.00
7001,15.00,7.73,110.00
7021,15.00,7.82,110.00
7041,15.00,7.88,110.00
7061,15.00,7.91,110.00
7081,15.00,7.81,139.00
7101,15.00,8.00,110.00
7121,15.00,7.86,153.00
7141,15.00,7.78,131.36
7161,15.00,7.98,110.00
7181,15.00,8.23,110.00
7201,15.00,8.39,110.00
7221,15.00,8.61,110.00
7241,15.00,9.55,110.00
7261,15.00,9.31,187.62
7281,15.00,9.04,199.54
7301,15.00,7.56,220.00
7321,15.00,6.68,220.00
7341,15.00,6.02,220.00
7361,15.00,5.63,220.00
7381,15.00,5.39,207.39
7401,15.00,5.38,117.66
7421,15.00,5.63,110.00
7441,15.00,6.04,110.00
7461,15.00,7.07,110.00
7481,15.00,7.69,110.00
7501,15.00,8.06,110.00
7521,15.00,9.22,110.00
7541,15.00,9.92,110.00
7561,15.00,9.01,220.00
7581,15.00,8.47,220.00
7601,15.00,8.14,220.00
7621,15.00,7.95,177.26
7641,15.00,7.83,146.72
7661,15.00,7.88,110.00
7681,15.00,7.91,110.00
7701,15.00,7.93,110.00
7721,15.00,8.07,110.00
7741,15.00,8.16,110.00
7761,15.00,10.37,110.00
7781,15.00,9.54,220.00
7801,15.00,9.17,220.00
7821,15.00,8.95,182.24
7841,15.00,8.68,200.74
7861,15.00,8.52,159.64
7881,15.00,8.43,135.03
7901,15.00,8.24,173.32
7921,15.00,8.13,144.11
7941,15.00,7.93,179.65
7961,15.00,7.81,148.79
7981,15.00,7.36,220.00
8001,15.00,7.08,218.02
8021,15.00,7.30,110.00
8041,15.00,7.43,110.00
8061,15.00,7.51,110.00
8081,15.00,7.56,110.00
8101,15.00,7.60,110.00
8121,15.00,7.74,110.00
