0,14.73,146.16
36801,15.00,14.73,146.17
36821,15.00,14.73,146.18
741,15.00,14.72,146.11
36761,15.00,14.73,146.14
36781,15.00,14.73,146.16
36801,15.00,14.73,146.17
36821,15.00,14.73,146.18
Tiempo(ms),Setpoint(cm),Altura(cm),PWM
0,15.00,4.70,163.34
20,15.00,4.70,161.03
40,15.00,4.70,161.30
60,15.00,4.70,161.56
80,15.00,4.70,161.83
100,15.00,4.70,162.10
120,15.00,4.70,162.37
140,15.00,4.70,162.64
160,15.00,4.99,154.82
180,15.00,5.20,156.76
200,15.00,5.34,158.19
220,15.00,5.44,159.27
240,15.00,5.12,170.88
260,15.00,4.89,169.30
280,15.00,4.74,168.27
300,15.00,4.63,167.63
320,15.00,4.65,164.58
340,15.00,4.66,164.97
360,15.00,4.87,159.93
380,15.00,5.70,142.50
400,15.00,6.38,144.80
420,15.00,7.05,143.53
440,15.00,7.71,142.19
460,15.00,8.48,137.96
480,15.00,9.33,133.86
500,15.00,10.24,130.22
520,15.00,10.87,135.56
540,15.00,11.32,139.32
561,15.00,12.03,131.89
581,15.00,12.84,126.39
601,15.00,14.15,110.97
621,15.00,15.25,113.07
641,15.00,16.80,110.00
661,15.00,18.17,110.00
681,15.00,19.13,110.00
701,15.00,19.52,120.44
721,15.00,19.78,122.67
741,15.00,19.69,131.86
761,15.00,19.52,133.87
781,15.00,19.40,132.94
801,15.00,19.22,134.68
821,15.00,19.09,133.55
841,15.00,18.82,137.98
861,15.00,18.33,144.23
881,15.00,17.99,141.38
901,15.00,17.76,139.36
921,15.00,17.59,137.93
941,15.00,17.37,139.89
961,15.00,17.00,144.36
981,15.00,16.74,142.20
1001,15.00,16.46,143.51
1021,15.00,16.26,141.85
1041,15.00,15.80,149.48
1061,15.00,15.38,149.66
1081,15.00,15.08,147.22
1101,15.00,14.87,145.66
1121,15.00,14.61,147.28
1141,15.00,14.44,145.85
1161,15.00,14.31,144.85
1181,15.00,14.23,144.16
1201,15.00,14.17,143.68
1221,15.00,14.12,143.36
1241,15.00,14.09,143.14
1261,15.00,14.07,142.99
1281,15.00,14.06,142.90
1301,15.00,14.05,142.84
1321,15.00,13.94,145.64
1341,15.00,13.86,145.18
1361,15.00,13.80,144.74
1381,15.00,13.76,144.44
1401,15.00,14.05,135.44
1421,15.00,14.25,137.14
1441,15.00,14.40,138.33
1461,15.00,14.39,142.00
1481,15.00,14.39,142.00
1501,15.00,14.39,142.00
1521,15.00,14.39,142.01
1541,15.00,14.39,142.02
1561,15.00,14.39,142.03
1581,15.00,14.39,142.04
1601,15.00,14.39,142.05
1621,15.00,14.39,142.07
1641,15.00,14.39,142.08
1661,15.00,14.39,142.10
1681,15.00,14.39,142.11
1701,15.00,14.39,142.13
1721,15.00,14.39,142.15
1741,15.00,14.49,139.32
1761,15.00,14.57,139.79
1781,15.00,14.62,140.38
1801,15.00,14.65,140.67
1821,15.00,14.67,140.88
1841,15.00,14.59,143.86
1861,15.00,14.53,143.38
1881,15.00,14.49,143.04
1901,15.00,14.46,142.81
1921,15.00,14.33,145.50
1941,15.00,14.25,144.80
1961,15.00,14.18,144.47
1981,15.00,14.14,143.97
2001,15.00,14.10,143.90
2021,15.00,14.08,143.73
2041,15.00,14.06,143.62
2061,15.00,14.05,143.55
2081,15.00,14.04,143.51
2101,15.00,14.04,143.34
2121,15.00,14.15,140.53
2141,15.00,14.22,141.14
2161,15.00,14.27,141.57
2181,15.00,14.30,142.02
2201,15.00,14.32,142.21
2221,15.00,14.34,142.35
2241,15.00,14.35,142.31
2261,15.00,14.36,142.41
2281,15.00,14.37,142.49
2301,15.00,14.37,142.55
2321,15.00,14.38,142.60
2341,15.00,14.48,139.80
2361,15.00,14.56,140.42
2381,15.00,14.61,140.71
2401,15.00,14.65,141.19
2421,15.00,14.67,141.40
2441,15.00,14.69,141.55
2461,15.00,14.70,141.65
2481,15.00,14.71,141.73
2501,15.00,14.72,141.78
2521,15.00,14.72,141.82
2541,15.00,14.73,141.71
2561,15.00,14.83,139.07
2581,15.00,14.90,139.67
2601,15.00,14.96,140.09
2621,15.00,14.57,151.87
2641,15.00,14.31,149.69
2661,15.00,14.12,148.18
2681,15.00,13.99,147.13
2701,15.00,13.90,146.40
2721,15.00,13.83,145.91
2741,15.00,13.79,145.57
2761,15.00,13.68,147.47
2781,15.00,13.60,146.88
2801,15.00,13.63,144.35
2821,15.00,13.96,135.87
2841,15.00,14.19,137.80
2861,15.00,14.35,139.15
2881,15.00,14.36,142.93
2901,15.00,14.37,143.01
2921,15.00,14.37,143.21
2941,15.00,14.37,143.08
2961,15.00,14.38,143.13
2981,15.00,14.38,143.17
3001,15.00,14.28,146.03
3021,15.00,14.31,142.64
3041,15.00,14.23,145.68
3061,15.00,14.17,145.38
3081,15.00,14.13,145.04
3101,15.00,14.20,141.84
3121,15.00,14.15,145.29
3141,15.00,14.22,142.02
3161,15.00,14.27,142.45
3181,15.00,14.31,142.75
3201,15.00,14.64,134.31
3221,15.00,14.89,136.12
3241,15.00,15.05,137.66
3261,15.00,15.17,138.60
3281,15.00,15.25,139.25
3301,15.00,14.78,154.18
3321,15.00,14.45,151.50
3341,15.00,14.22,149.63
3361,15.00,14.06,148.33
3381,15.00,13.95,147.43
3401,15.00,13.97,143.83
3421,15.00,14.31,135.37
3441,15.00,14.54,137.31
3461,15.00,14.71,138.67
3481,15.00,14.82,139.61
3501,15.00,14.90,140.42
3521,15.00,14.85,143.69
3541,15.00,14.81,143.41
3561,15.00,14.79,143.21
3581,15.00,14.77,143.07
3601,15.00,14.76,142.98
3621,15.00,14.76,142.77
3641,15.00,14.75,142.90
3661,15.00,14.74,142.87
3681,15.00,14.74,142.70
3701,15.00,14.74,142.86
3721,15.00,14.74,142.84
3741,15.00,14.73,142.83
3761,15.00,14.73,142.83
3781,15.00,14.73,142.83
3801,15.00,14.73,142.83
3821,15.00,14.73,142.83
3841,15.00,14.73,142.84
3861,15.00,14.73,142.84
3881,15.00,14.73,142.85
3901,15.00,14.73,142.85
3921,15.00,14.63,145.70
3941,15.00,14.56,145.11
3961,15.00,14.50,144.71
3981,15.00,14.47,144.44
4001,15.00,14.44,144.25
4021,15.00,14.43,144.12
4041,15.00,14.41,144.03
4061,15.00,14.41,143.98
4081,15.00,14.40,143.95
4101,15.00,14.81,132.44
4121,15.00,14.69,146.30
4141,15.00,14.60,145.58
4161,15.00,14.53,145.07
4181,15.00,14.39,147.56
4201,15.00,14.28,146.88
4221,15.00,14.21,146.13
4241,15.00,14.15,145.89
4261,15.00,14.11,145.60
4281,15.00,14.09,145.41
4301,15.00,14.07,145.14
4321,15.00,14.07,145.08
4341,15.00,14.48,133.56
4361,15.00,14.76,135.93
4381,15.00,14.96,137.58
4401,15.00,15.11,138.74
4421,15.00,15.20,139.54
4441,15.00,15.27,140.10
4461,15.00,15.32,140.49
4481,15.00,15.36,140.76
4501,15.00,15.38,140.94
4521,15.00,15.40,141.07
4541,15.00,15.41,141.16
4561,15.00,15.42,141.21
4581,15.00,15.42,141.25
4601,15.00,15.21,147.09
4621,15.00,15.07,145.89
4641,15.00,15.08,142.08
4661,15.00,15.08,142.11
4681,15.00,15.08,142.14
4701,15.00,15.09,142.16
4721,15.00,15.09,142.17
4741,15.00,14.67,153.81
4761,15.00,14.37,151.40
4781,15.00,14.16,149.73
4801,15.00,14.02,148.56
4821,15.00,13.92,147.76
4841,15.00,13.85,147.21
4861,15.00,13.80,146.83
4881,15.00,14.18,135.09
4901,15.00,14.45,137.30
4921,15.00,14.64,138.85
4941,15.00,14.66,142.77
4961,15.00,14.68,142.94
4981,15.00,14.59,145.90
5001,15.00,14.53,145.40
5021,15.00,14.49,145.06
5041,15.00,14.46,144.82
5061,15.00,14.44,144.66
5081,15.00,14.52,141.71
5101,15.00,14.59,142.23
5121,15.00,14.63,142.59
5141,15.00,14.66,142.85
5161,15.00,14.68,143.03
5181,15.00,14.70,143.02
5201,15.00,14.71,143.14
5221,15.00,14.72,143.23
5241,15.00,14.73,143.29
5261,15.00,14.73,143.48
5281,15.00,14.73,143.49
