Tiempo(ms),PWM,Altura(cm)
0,127,9.29
52,127,7.98
103,127,8.95
154,127,7.66
206,127,7.98
257,127,7.88
308,127,10.53
359,127,7.98
410,127,7.98
462,127,7.98
514,127,7.98
565,127,7.98
616,127,7.98
667,127,7.98
719,127,8.86
770,127,10.17
821,127,7.66
872,127,7.98
923,127,7.98
976,127,10.28
1027,127,7.98
1078,127,7.88
1129,127,7.88
1180,127,7.88
1232,127,7.98
1283,127,7.98
1335,127,7.98
1386,127,7.98
1437,127,7.66
1489,127,7.88
1540,127,7.88
1591,127,10.60
1643,127,7.98
1695,127,4.38
1746,127,7.98
1797,127,7.66
1848,127,7.88
1899,127,7.88
1951,127,7.88
2002,127,7.98
2053,127,6.67
2104,127,7.98
2156,127,7.98
2208,127,10.59
2259,127,7.88
2310,127,7.88
2361,127,7.98
2412,127,9.29
2465,127,7.98
2516,127,7.98
2567,127,8.86
2618,127,7.88
2669,127,7.88
2721,127,7.98
2772,127,7.98
2824,127,7.98
2875,127,8.97
2926,127,7.55
2978,127,4.38
3029,127,7.88
3080,127,7.88
3131,127,9.28
3182,127,7.97
3235,127,8.95
3286,127,7.98
3337,127,7.88
3388,127,7.88
3439,127,7.88
3491,127,8.97
3542,127,7.66
3594,127,7.98
3645,127,7.98
3696,127,7.98
3748,127,10.17
3799,127,8.97
3850,127,7.98
3902,127,7.98
3953,127,7.98
4005,127,10.53
4056,127,9.17
4107,127,7.98
4159,127,7.66
4210,127,8.97
4262,127,7.97
4313,127,10.53
4364,127,9.29
4416,127,7.98
4468,127,7.98
4519,127,7.98
4570,127,7.88
4621,127,7.88
4672,127,7.88
4724,127,7.98
4775,127,7.98
4827,127,7.98
4878,127,7.98
4929,127,7.98
4981,127,7.88
5032,127,7.88
5083,127,8.91
5134,127,8.97
5186,127,8.95
5238,127,3.40
5289,127,8.97
5340,127,7.88
5391,127,7.88
5442,127,7.88
5494,127,7.98
5545,127,7.98
5597,127,7.98
5648,127,7.66
5699,127,7.98
5751,127,7.88
5802,127,7.88
5853,127,7.88
5904,127,7.98
5955,127,7.98
6008,127,7.98
6059,127,7.98
6110,127,7.98
6161,127,7.88
6212,127,7.88
6264,127,7.88
6315,127,7.98
6366,127,7.98
6418,127,7.98
6469,127,7.98
6521,127,7.88
6572,127,7.88
6623,127,7.86
6674,127,7.98
6725,127,7.98
6778,127,7.98
6829,127,7.98
6880,127,7.98
6931,127,7.88
6982,127,7.88
7034,127,7.88
7085,127,10.64
7137,127,7.98
7188,127,7.98
7239,127,7.88
7291,127,7.55
7342,127,10.17
7393,127,7.98
7445,127,7.98
7497,127,7.98
7548,127,7.98
7599,127,7.88
7650,127,7.88
7701,127,7.88
7753,127,7.98
7804,127,7.98
7856,127,8.97
7907,127,7.98
7958,127,7.88
8010,127,7.88
8061,127,7.86
8112,127,7.98
8163,127,7.98
8215,127,7.98
8267,127,7.98
8318,127,7.88
8369,127,7.86
8420,127,7.88
8471,127,7.98
8523,127,7.98
8575,127,7.98
8626,127,6.34
8677,127,7.98
8728,127,7.98
8780,127,7.88
8831,127,7.88
8882,127,7.98
8933,127,7.98
8985,127,7.98
9037,127,7.98
9088,127,7.98
9139,127,7.88
9190,127,7.88
9241,127,7.88
9293,127,7.98
9344,127,7.98
9396,127,6.67
9447,127,7.98
9498,127,7.98
9550,127,7.88
9601,127,7.88
9652,127,7.88
9703,127,7.98
9754,127,7.98
9807,127,7.98
