Tiempo(ms),PWM,Altura(cm)
20,133,13.83
40,133,13.83
80,133,13.83
100,133,13.83
120,133,13.83
140,133,13.98
160,133,13.34
180,133,13.68
201,133,13.88
220,133,14.01
240,133,13.36
260,133,13.70
280,133,13.89
300,133,13.29
320,133,13.51
340,133,13.64
380,133,13.72
400,133,13.61
420,133,13.70
440,133,13.75
460,133,13.78
480,133,13.95
500,133,13.47
520,133,13.86
540,133,13.56
560,133,13.52
580,133,13.51
600,133,13.35
620,133,13.25
640,133,13.20
660,133,13.31
680,133,13.23
700,133,13.19
720,133,13.16
740,133,13.15
760,133,13.14
780,133,11.97
800,133,12.30
820,133,12.49
841,133,12.60
860,133,12.67
880,133,12.85
900,133,12.81
920,133,12.79
940,133,12.93
960,133,13.01
980,133,13.05
1000,133,13.76
1020,133,13.50
1040,133,13.34
1060,133,13.39
1100,133,13.57
1120,133,13.10
1140,133,13.54
1160,133,13.08
1180,133,12.81
1200,133,12.65
1220,133,13.27
1240,133,12.92
1260,133,13.29
1280,133,13.36
1300,133,13.40
1320,133,13.29
1340,133,13.07
1360,133,12.95
1400,133,12.87
1420,133,12.83
1440,133,12.95
1460,133,13.02
1481,133,13.06
1500,133,13.08
1520,133,13.10
1540,133,12.97
1560,133,12.88
1580,133,13.42
1600,133,13.73
1620,133,13.19
1640,133,12.87
1660,133,13.41
1680,133,13.83
1700,133,13.39
1720,133,13.28
1740,133,13.22
1760,133,13.18
1780,133,13.15
1800,133,13.14
1820,133,13.12
1840,133,12.97
1860,133,12.89
1880,133,12.85
1900,133,12.82
1920,133,12.79
1940,133,12.78
1960,133,13.36
1980,133,13.70
2000,133,14.00
2020,133,14.17
2040,133,13.60
2060,133,13.26
2080,133,13.06
2100,133,11.52
2140,133,11.88
2160,133,12.10
2180,133,12.95
2200,133,12.87
2220,133,12.83
2240,133,12.95
2260,133,13.02
2280,133,13.21
2300,133,13.17
2320,133,13.15
2340,133,13.14
2360,133,12.99
2380,133,12.90
2420,133,12.85
2440,133,12.81
2460,133,12.79
2480,133,12.92
2500,133,13.54
2520,133,13.37
2540,133,13.27
2560,133,13.21
2580,133,13.17
2600,133,13.15
2620,133,13.14
2640,133,13.13
2660,133,13.13
2680,133,13.12
2700,133,13.12
2720,133,13.12
2740,133,13.12
2761,133,13.26
2780,133,13.35
2800,133,13.40
2820,133,13.43
2840,133,13.44
2860,133,13.45
2880,133,13.32
2900,133,13.24
2920,133,13.19
2940,133,13.16
2960,133,13.00
2980,133,13.05
3000,133,12.94
3020,133,12.87
3040,133,12.83
3060,133,12.81
3080,133,12.80
3100,133,12.79
3120,133,12.06
3140,133,11.06
3160,133,11.75
3180,133,12.17
3200,133,12.41
3220,133,12.56
3240,133,12.65
3260,133,12.69
3280,133,13.40
3300,133,13.29
3320,133,13.75
3340,133,13.50
3360,133,13.34
3380,133,13.11
3401,133,13.11
3420,133,13.12
3440,133,13.12
3460,133,12.98
3480,133,12.90
3500,133,12.85
3520,133,13.49
3540,133,13.19
3560,133,13.70
3580,133,14.01
3600,133,13.64
3620,133,13.43
3640,133,13.44
3660,133,13.46
3680,133,13.47
3700,133,13.47
3720,133,13.47
3760,133,13.33
3780,133,13.24
3800,133,13.19
3820,133,13.16
3840,133,13.15
3860,133,13.14
3880,133,12.99
3900,133,12.90
3920,133,12.99
3940,133,13.04
3960,133,13.08
3980,133,13.09
4000,133,13.93
4020,133,13.89
4041,133,14.01
4060,133,13.93
4080,133,14.03
4100,133,13.37
4120,133,12.99
4140,133,13.47
4160,133,13.04
4180,133,13.36
4200,133,13.41
4220,133,13.44
4240,133,13.31
4260,133,13.23
4280,133,13.04
4300,133,13.07
4320,133,13.63
4340,133,13.27
4360,133,13.21
4380,133,13.17
4400,133,13.29
4420,133,13.37
4440,133,13.41
4460,133,13.43
4480,133,13.45
4500,133,13.31
4520,133,13.23
4540,133,13.19
4560,133,13.01
4580,133,12.91
4600,133,13.00
4620,133,13.05
4640,133,13.07
4660,133,12.94
4681,133,13.02
4700,133,13.06
4720,133,13.08
4740,133,13.10
4760,133,13.11
4780,133,12.97
4800,133,12.89
4820,133,12.99
4840,133,12.90
4860,133,12.84
4880,133,12.81
4900,133,12.79
4920,133,12.79
4940,133,12.92
4960,133,13.00
4980,133,13.19
5000,133,13.31
5020,133,13.37
5040,133,13.42
5080,133,13.44
5100,133,13.45
5120,133,13.46
5140,133,13.47
5160,133,13.47
