Tiempo(ms),PWM,Altura(cm)
20,148,16.19
40,148,16.34
80,148,16.42
140,148,17.16
160,148,17.59
180,148,17.17
201,148,16.91
220,148,16.76
240,148,16.68
260,148,16.62
280,148,16.73
300,148,16.65
320,148,15.88
340,148,16.30
360,148,16.54
380,148,16.69
400,148,16.92
420,148,16.19
440,148,16.62
460,148,16.87
480,148,17.02
500,148,17.12
520,148,16.45
540,148,16.77
560,148,16.96
580,148,16.36
600,148,16.00
620,148,15.64
680,148,16.30
700,148,16.69
720,148,16.05
740,148,15.67
780,148,13.90
800,148,14.40
820,148,14.84
841,148,15.10
860,148,15.98
880,148,16.49
900,148,16.08
920,148,15.70
940,148,15.47
960,148,15.33
980,148,15.83
1000,148,16.27
1020,148,15.81
1040,148,15.38
1060,148,15.86
1080,148,16.69
1100,148,16.64
1120,148,16.45
1160,148,16.49
1180,148,16.37
1200,148,16.29
1220,148,16.25
1240,148,16.23
1260,148,16.21
1280,148,16.20
1300,148,16.20
1320,148,16.05
1340,148,16.11
1380,148,16.84
1400,148,16.71
1420,148,16.64
1440,148,16.60
1460,148,16.58
1481,148,16.56
1500,148,16.56
1520,148,16.55
1540,148,16.41
1560,148,16.32
1580,148,16.41
1600,148,17.02
1640,148,16.68
1700,148,16.48
1720,148,16.92
1740,148,16.62
1760,148,17.01
1780,148,17.37
1800,148,17.59
1820,148,17.02
1840,148,16.68
1860,148,16.48
1880,148,16.36
1900,148,16.29
1920,148,16.25
1940,148,16.22
1960,148,16.91
1980,148,17.31
2000,148,16.99
2020,148,16.81
2040,148,16.70
2060,148,15.91
2080,148,16.18
2100,148,16.32
2140,148,15.69
2160,148,16.04
2180,148,16.24
2200,148,16.37
2220,148,16.29
2240,148,16.25
2260,148,16.23
2280,148,16.21
2300,148,16.20
2320,148,16.20
2340,148,16.19
2360,148,16.76
2380,148,17.09
2400,148,16.58
2420,148,16.28
2440,148,16.81
2460,148,17.12
2500,148,17.30
2520,148,17.28
2540,148,17.26
2560,148,17.25
2580,148,16.53
2600,148,16.82
2620,148,16.99
2640,148,16.38
2660,148,16.01
2680,148,16.51
2700,148,16.81
2720,148,16.42
2740,148,16.18
2761,148,17.14
2780,148,17.32
2800,148,16.71
2820,148,16.36
2840,148,16.15
2860,148,15.88
2880,148,15.72
2900,148,15.62
2920,148,15.56
2940,148,15.53
2960,148,15.65
2980,148,16.44
3000,148,17.43
3020,148,18.01
3040,148,17.97
3060,148,17.24
3080,148,16.81
3100,148,16.41
3120,148,16.17
3160,148,16.03
3180,148,16.10
3200,148,16.13
3220,148,16.01
3240,148,15.94
3260,148,15.90
3280,148,15.87
3300,148,16.43
3320,148,16.90
3340,148,17.17
3360,148,16.63
3380,148,17.01
3401,148,16.54
3420,148,16.25
3440,148,16.79
3460,148,16.40
3480,148,16.17
3500,148,16.74
3520,148,16.37
3540,148,16.15
3560,148,16.73
3580,148,16.51
3600,148,16.24
3620,148,16.22
3640,148,16.21
3660,148,16.20
3680,148,16.20
3700,148,16.19
3720,148,16.19
3740,148,16.34
3760,148,16.42
3780,148,16.61
3800,148,16.73
3820,148,16.80
3840,148,16.55
3860,148,15.82
3880,148,16.11
3900,148,15.57
3920,148,15.97
3940,148,16.06
3960,148,16.11
3980,148,16.14
4000,148,16.31
4020,148,16.55
4041,148,16.69
4060,148,16.78
4080,148,16.97
4100,148,16.36
4120,148,16.00
4140,148,15.79
4160,148,16.38
4180,148,16.59
4200,148,16.72
4240,148,16.93
4260,148,17.06
4280,148,16.41
4300,148,16.03
4320,148,16.66
4340,148,16.18
4360,148,16.62
4380,148,16.16
4400,148,15.88
4420,148,15.72
4440,148,16.20
4460,148,16.48
4480,148,16.51
4560,148,18.13
4580,148,18.16
4600,148,17.65
4620,148,17.20
4640,148,16.93
4660,148,16.77
4700,148,16.67
4720,148,16.62
4760,148,17.14
4780,148,16.75
4820,148,17.22
4840,148,16.80
4860,148,16.55
4880,148,16.40
4900,148,16.32
4920,148,16.26
4940,148,16.23
4960,148,16.22
4980,148,16.21
5000,148,16.20
5020,148,16.20
5040,148,16.76
5060,148,17.09
5080,148,16.71
5120,148,17.06
5140,148,16.71
5160,148,16.50
5180,148,16.37
5200,148,16.30
5220,148,16.25
5260,148,16.79
5280,148,16.55
5300,148,16.26
5321,148,16.23
5340,148,16.91
5360,148,17.18
5380,148,17.34
5400,148,17.43
5420,148,17.48
5440,148,16.96
5460,148,17.21
5500,148,16.79
5520,148,16.55
5560,148,16.40
5580,148,16.17
5600,148,16.61
5620,148,16.87
5640,148,17.02
5660,148,16.39
5680,148,16.02
5700,148,15.80
5720,148,15.67
5740,148,16.31
5780,148,16.12
5800,148,15.86
5820,148,15.71
5860,148,16.33
5880,148,15.99
5900,148,16.50
5920,148,16.81
5940,148,16.99
5961,148,17.09
5980,148,17.15
6000,148,17.19
6020,148,17.74
6040,148,17.67
6100,148,17.49
6120,148,17.52
6140,148,17.42
6160,148,17.34
6180,148,17.16
6200,148,16.48
6220,148,15.93
6240,148,15.75
6260,148,15.64
6280,148,15.72
6300,148,15.76
6320,148,16.37
6340,148,17.25
6360,148,17.25
6400,148,17.38
6440,148,17.46
6460,148,16.80
6480,148,17.11
6500,148,16.59
6520,148,16.28
6540,148,16.10
6560,148,16.00
6580,148,16.64
6601,148,17.02
6620,148,16.54
6640,148,16.25
6700,148,16.79
6720,148,16.54
6740,148,16.40
6760,148,16.31
6780,148,16.26
6800,148,16.23
6820,148,16.07
6840,148,16.12
6880,148,16.71
6900,148,16.35
6920,148,16.14
6940,148,16.72
6960,148,17.07
7000,148,17.27
7040,148,16.69
7060,148,16.34
7080,148,16.13
7100,148,16.71
7120,148,16.35
7140,148,16.14
7180,148,16.72
7200,148,17.07
7220,148,17.27
7241,148,17.26
7260,148,17.38
7280,148,17.46
7320,148,17.37
7340,148,17.32
7400,148,17.29
7420,148,17.27
7460,148,16.69
7480,148,17.05
7500,148,17.26
7520,148,16.68
7540,148,16.34
7560,148,16.14
7580,148,16.02
7600,148,15.94
7620,148,15.90
7640,148,16.58
7660,148,16.42
7680,148,16.33
7700,148,16.27
7720,148,16.09
7740,148,16.69
7760,148,16.49
7780,148,17.06
7800,148,16.85
7860,148,17.40
7881,148,16.33
7900,148,16.42
7920,148,17.16
7940,148,16.91
7960,148,16.90
8000,148,17.04
8020,148,17.12
8040,148,16.45
8060,148,16.06
8080,148,15.82
8100,148,16.40
8120,148,16.75
8140,148,16.23
8160,148,15.92
8180,148,16.60
8200,148,16.99
8240,148,16.52
8260,148,16.39
8280,148,16.17
8300,148,16.03
8320,148,16.66
8360,148,16.33
8380,148,16.13
