Tiempo(ms),PWM,Altura(cm)
20,155,14.43
40,155,15.71
80,155,15.19
100,155,14.88
120,155,14.69
140,155,16.00
160,155,16.78
180,155,16.68
201,155,16.62
220,155,15.88
240,155,15.43
260,155,15.89
280,155,16.71
300,155,18.24
320,155,18.09
340,155,16.74
360,155,16.65
380,155,15.75
400,155,16.62
420,155,17.14
460,155,16.03
480,155,15.52
500,155,15.22
520,155,15.04
560,155,16.34
600,155,15.70
620,155,15.47
660,155,16.59
680,155,17.25
700,155,17.65
720,155,16.47
740,155,15.78
760,155,15.37
800,155,15.13
820,155,14.99
841,155,14.91
860,155,15.58
900,155,15.97
920,155,16.88
980,155,16.89
1000,155,16.17
1020,155,15.74
1040,155,15.35
1080,155,15.98
1100,155,16.90
1120,155,16.18
1140,155,16.61
1160,155,16.00
1180,155,15.65
1200,155,16.69
1220,155,16.92
1240,155,16.19
1260,155,15.76
1280,155,16.22
1300,155,15.78
1320,155,16.77
1340,155,15.96
1360,155,16.88
1380,155,16.88
1400,155,16.02
1420,155,15.51
1440,155,15.36
1460,155,15.99
1500,155,15.64
1520,155,15.44
1540,155,15.32
1560,155,15.38
1580,155,15.42
1620,155,15.45
1640,155,16.19
1660,155,16.62
1680,155,16.15
1700,155,17.13
1720,155,16.60
1740,155,15.46
1760,155,15.47
1780,155,15.62
1800,155,14.74
1820,155,13.65
1840,155,14.40
1860,155,14.31
1880,155,14.94
1900,155,15.31
1920,155,15.53
1980,155,16.36
2000,155,16.00
2020,155,15.79
2040,155,15.81
2060,155,15.68
2080,155,15.60
2100,155,15.55
2121,155,15.52
2140,155,15.51
2160,155,14.82
2180,155,15.81
2220,155,16.40
2240,155,16.02
2260,155,16.53
2280,155,16.11
2300,155,16.57
2320,155,16.84
2340,155,17.01
2360,155,16.25
2400,155,15.93
2420,155,15.61
2440,155,15.42
2460,155,15.44
2500,155,16.19
2520,155,17.02
2540,155,16.24
2560,155,15.78
2580,155,16.39
2600,155,18.19
2620,155,17.81
2640,155,16.72
2660,155,16.07
2680,155,15.69
2700,155,15.46
2720,155,15.32
2740,155,15.97
2761,155,17.41
2780,155,17.21
2800,155,16.36
2820,155,15.85
2840,155,15.55
2880,155,15.24
2900,155,15.77
2920,155,15.37
2940,155,15.12
2960,155,14.99
3000,155,16.31
3020,155,15.68
3040,155,16.71
3060,155,16.07
3080,155,15.69
3100,155,15.46
3120,155,15.90
3140,155,16.84
3160,155,16.01
3180,155,15.50
3200,155,16.61
3220,155,16.00
3240,155,15.64
3260,155,15.44
3280,155,15.31
3300,155,15.97
3320,155,16.20
3340,155,15.77
3360,155,15.51
3380,155,15.35
3401,155,15.26
3420,155,15.21
3440,155,15.90
3460,155,15.45
3480,155,15.18
3500,155,15.88
3520,155,16.30
3540,155,17.08
3560,155,17.01
3580,155,17.50
3600,155,16.54
3620,155,16.68
3640,155,16.05
3660,155,15.68
3680,155,15.46
3720,155,15.33
3740,155,15.97
3760,155,15.48
3780,155,15.19
3800,155,16.42
3820,155,16.62
3840,155,17.27
3860,155,16.25
3880,155,15.65
3900,155,15.29
3920,155,15.07
3940,155,15.67
